filename,world_name,character_name,character2_name,character_texture,character2_texture,character_pos,character2_pos
0000190.png,Desert,Crow,Wolf,Yellow,Blue,,
0000191.png,Desert,Crow,Wolf,Yellow,Green,,
0000192.png,Desert,Crow,Wolf,Yellow,Brown,,
0000193.png,Desert,Crow,Wolf,Yellow,Purple,,
0000194.png,Desert,Crow,Wolf,Yellow,Cyan,,
0000195.png,Desert,Crow,Wolf,Yellow,Gray,,
0000196.png,Desert,Crow,Wolf,Brown,Red,,
0000197.png,Desert,Crow,Wolf,Brown,Blue,,
0000198.png,Desert,Crow,Wolf,Brown,Green,,
0000199.png,Desert,Crow,Wolf,Brown,Yellow,,
0000200.png,Desert,Crow,Wolf,Brown,Purple,,
0000201.png,Desert,Crow,Wolf,Brown,Cyan,,
0000202.png,Desert,Crow,Wolf,Brown,Gray,,
0000203.png,Desert,Crow,Wolf,Purple,Red,,
0000204.png,Desert,Crow,Wolf,Purple,Blue,,
0000205.png,Desert,Crow,Wolf,Purple,Green,,
0000206.png,Desert,Crow,Wolf,Purple,Yellow,,
0000207.png,Desert,Crow,Wolf,Purple,Brown,,
0000208.png,Desert,Crow,Wolf,Purple,Cyan,,
0000209.png,Desert,Crow,Wolf,Purple,Gray,,
0000210.png,Desert,Crow,Wolf,Cyan,Red,,
0000211.png,Desert,Crow,Wolf,Cyan,Blue,,
0000212.png,Desert,Crow,Wolf,Cyan,Green,,
0000213.png,Desert,Crow,Wolf,Cyan,Yellow,,
0000214.png,Desert,Crow,Wolf,Cyan,Brown,,
0000215.png,Desert,Crow,Wolf,Cyan,Purple,,
0000216.png,Desert,Crow,Wolf,Cyan,Gray,,
0000217.png,Desert,Crow,Wolf,Gray,Red,,
0000218.png,Desert,Crow,Wolf,Gray,Blue,,
0000219.png,Desert,Crow,Wolf,Gray,Green,,
0000220.png,Desert,Crow,Wolf,Gray,Yellow,,
0000221.png,Desert,Crow,Wolf,Gray,Brown,,
0000222.png,Desert,Crow,Wolf,Gray,Purple,,
0000223.png,Desert,Crow,Wolf,Gray,Cyan,,
0000224.png,Desert,Crow,Crocodile,Red,Blue,,
0000225.png,Desert,Crow,Crocodile,Red,Green,,
0000226.png,Desert,Crow,Crocodile,Red,Yellow,,
0000227.png,Desert,Crow,Crocodile,Red,Brown,,
0000228.png,Desert,Crow,Crocodile,Red,Purple,,
0000229.png,Desert,Crow,Crocodile,Red,Cyan,,
0000230.png,Desert,Crow,Crocodile,Red,Gray,,
0000231.png,Desert,Crow,Crocodile,Blue,Red,,
0000232.png,Desert,Crow,Crocodile,Blue,Green,,
0000233.png,Desert,Crow,Crocodile,Blue,Yellow,,
0000234.png,Desert,Crow,Crocodile,Blue,Brown,,
0000235.png,Desert,Crow,Crocodile,Blue,Purple,,
0000236.png,Desert,Crow,Crocodile,Blue,Cyan,,
0000237.png,Desert,Crow,Crocodile,Blue,Gray,,
0000238.png,Desert,Crow,Crocodile,Green,Red,,
0000239.png,Desert,Crow,Crocodile,Green,Blue,,
0000240.png,Desert,Crow,Crocodile,Green,Yellow,,
0000241.png,Desert,Crow,Crocodile,Green,Brown,,
0000242.png,Desert,Crow,Crocodile,Green,Purple,,
0000243.png,Desert,Crow,Crocodile,Green,Cyan,,
0000244.png,Desert,Crow,Crocodile,Green,Gray,,
0000245.png,Desert,Crow,Crocodile,Yellow,Red,,
0000246.png,Desert,Crow,Crocodile,Yellow,Blue,,
0000247.png,Desert,Crow,Crocodile,Yellow,Green,,
0000248.png,Desert,Crow,Crocodile,Yellow,Brown,,
0000249.png,Desert,Crow,Crocodile,Yellow,Purple,,
0000250.png,Desert,Crow,Crocodile,Yellow,Cyan,,
0000251.png,Desert,Crow,Crocodile,Yellow,Gray,,
0000252.png,Desert,Crow,Crocodile,Brown,Red,,
0000253.png,Desert,Crow,Crocodile,Brown,Blue,,
0000254.png,Desert,Crow,Crocodile,Brown,Green,,
0000255.png,Desert,Crow,Crocodile,Brown,Yellow,,
0000256.png,Desert,Crow,Crocodile,Brown,Purple,,
0000257.png,Desert,Crow,Crocodile,Brown,Cyan,,
0000258.png,Desert,Crow,Crocodile,Brown,Gray,,
0000259.png,Desert,Crow,Crocodile,Purple,Red,,
0000260.png,Desert,Crow,Crocodile,Purple,Blue,,
0000261.png,Desert,Crow,Crocodile,Purple,Green,,
0000262.png,Desert,Crow,Crocodile,Purple,Yellow,,
0000263.png,Desert,Crow,Crocodile,Purple,Brown,,
0000264.png,Desert,Crow,Crocodile,Purple,Cyan,,
0000265.png,Desert,Crow,Crocodile,Purple,Gray,,
0000266.png,Desert,Crow,Crocodile,Cyan,Red,,
0000267.png,Desert,Crow,Crocodile,Cyan,Blue,,
0000268.png,Desert,Crow,Crocodile,Cyan,Green,,
0000269.png,Desert,Crow,Crocodile,Cyan,Yellow,,
0000270.png,Desert,Crow,Crocodile,Cyan,Brown,,
0000271.png,Desert,Crow,Crocodile,Cyan,Purple,,
0000272.png,Desert,Crow,Crocodile,Cyan,Gray,,
0000273.png,Desert,Crow,Crocodile,Gray,Red,,
0000274.png,Desert,Crow,Crocodile,Gray,Blue,,
0000275.png,Desert,Crow,Crocodile,Gray,Green,,
0000276.png,Desert,Crow,Crocodile,Gray,Yellow,,
0000277.png,Desert,Crow,Crocodile,Gray,Brown,,
0000278.png,Desert,Crow,Crocodile,Gray,Purple,,
0000279.png,Desert,Crow,Crocodile,Gray,Cyan,,
0000280.png,Desert,Crow,Elephant,Red,Blue,,
0000281.png,Desert,Crow,Elephant,Red,Green,,
0000282.png,Desert,Crow,Elephant,Red,Yellow,,
0000283.png,Desert,Crow,Elephant,Red,Brown,,
0000284.png,Desert,Crow,Elephant,Red,Purple,,
0000285.png,Desert,Crow,Elephant,Red,Cyan,,
0000286.png,Desert,Crow,Elephant,Red,Gray,,
0000287.png,Desert,Crow,Elephant,Blue,Red,,
0000288.png,Desert,Crow,Elephant,Blue,Green,,
0000289.png,Desert,Crow,Elephant,Blue,Yellow,,
0000290.png,Desert,Crow,Elephant,Blue,Brown,,
0000291.png,Desert,Crow,Elephant,Blue,Purple,,
0000292.png,Desert,Crow,Elephant,Blue,Cyan,,
0000293.png,Desert,Crow,Elephant,Blue,Gray,,
0000294.png,Desert,Crow,Elephant,Green,Red,,
0000295.png,Desert,Crow,Elephant,Green,Blue,,
0000296.png,Desert,Crow,Elephant,Green,Yellow,,
0000297.png,Desert,Crow,Elephant,Green,Brown,,
0000298.png,Desert,Crow,Elephant,Green,Purple,,
0000299.png,Desert,Crow,Elephant,Green,Cyan,,
0000300.png,Desert,Crow,Elephant,Green,Gray,,
0000301.png,Desert,Crow,Elephant,Yellow,Red,,
0000302.png,Desert,Crow,Elephant,Yellow,Blue,,
0000303.png,Desert,Crow,Elephant,Yellow,Green,,
0000304.png,Desert,Crow,Elephant,Yellow,Brown,,
0000305.png,Desert,Crow,Elephant,Yellow,Purple,,
0000306.png,Desert,Crow,Elephant,Yellow,Cyan,,
0000307.png,Desert,Crow,Elephant,Yellow,Gray,,
0000308.png,Desert,Crow,Elephant,Brown,Red,,
0000309.png,Desert,Crow,Elephant,Brown,Blue,,
0000310.png,Desert,Crow,Elephant,Brown,Green,,
0000311.png,Desert,Crow,Elephant,Brown,Yellow,,
0000312.png,Desert,Crow,Elephant,Brown,Purple,,
0000313.png,Desert,Crow,Elephant,Brown,Cyan,,
0000314.png,Desert,Crow,Elephant,Brown,Gray,,
0000315.png,Desert,Crow,Elephant,Purple,Red,,
0000316.png,Desert,Crow,Elephant,Purple,Blue,,
0000317.png,Desert,Crow,Elephant,Purple,Green,,
0000318.png,Desert,Crow,Elephant,Purple,Yellow,,
0000319.png,Desert,Crow,Elephant,Purple,Brown,,
0000320.png,Desert,Crow,Elephant,Purple,Cyan,,
0000321.png,Desert,Crow,Elephant,Purple,Gray,,
0000322.png,Desert,Crow,Elephant,Cyan,Red,,
0000323.png,Desert,Crow,Elephant,Cyan,Blue,,
0000324.png,Desert,Crow,Elephant,Cyan,Green,,
0000325.png,Desert,Crow,Elephant,Cyan,Yellow,,
0000326.png,Desert,Crow,Elephant,Cyan,Brown,,
0000327.png,Desert,Crow,Elephant,Cyan,Purple,,
0000328.png,Desert,Crow,Elephant,Cyan,Gray,,
0000329.png,Desert,Crow,Elephant,Gray,Red,,
0000330.png,Desert,Crow,Elephant,Gray,Blue,,
0000331.png,Desert,Crow,Elephant,Gray,Green,,
0000332.png,Desert,Crow,Elephant,Gray,Yellow,,
0000333.png,Desert,Crow,Elephant,Gray,Brown,,
0000334.png,Desert,Crow,Elephant,Gray,Purple,,
0000335.png,Desert,Crow,Elephant,Gray,Cyan,,
0000336.png,Desert,Crow,Hippopotamus,Red,Blue,,
0000337.png,Desert,Crow,Hippopotamus,Red,Green,,
0000338.png,Desert,Crow,Hippopotamus,Red,Yellow,,
0000339.png,Desert,Crow,Hippopotamus,Red,Brown,,
0000340.png,Desert,Crow,Hippopotamus,Red,Purple,,
0000341.png,Desert,Crow,Hippopotamus,Red,Cyan,,
0000342.png,Desert,Crow,Hippopotamus,Red,Gray,,
0000343.png,Desert,Crow,Hippopotamus,Blue,Red,,
0000344.png,Desert,Crow,Hippopotamus,Blue,Green,,
0000345.png,Desert,Crow,Hippopotamus,Blue,Yellow,,
0000346.png,Desert,Crow,Hippopotamus,Blue,Brown,,
0000347.png,Desert,Crow,Hippopotamus,Blue,Purple,,
0000348.png,Desert,Crow,Hippopotamus,Blue,Cyan,,
0000349.png,Desert,Crow,Hippopotamus,Blue,Gray,,
0000350.png,Desert,Crow,Hippopotamus,Green,Red,,
0000351.png,Desert,Crow,Hippopotamus,Green,Blue,,
0000352.png,Desert,Crow,Hippopotamus,Green,Yellow,,
0000353.png,Desert,Crow,Hippopotamus,Green,Brown,,
0000354.png,Desert,Crow,Hippopotamus,Green,Purple,,
0000355.png,Desert,Crow,Hippopotamus,Green,Cyan,,
0000356.png,Desert,Crow,Hippopotamus,Green,Gray,,
0000357.png,Desert,Crow,Hippopotamus,Yellow,Red,,
0000358.png,Desert,Crow,Hippopotamus,Yellow,Blue,,
0000359.png,Desert,Crow,Hippopotamus,Yellow,Green,,
0000360.png,Desert,Crow,Hippopotamus,Yellow,Brown,,
0000361.png,Desert,Crow,Hippopotamus,Yellow,Purple,,
0000362.png,Desert,Crow,Hippopotamus,Yellow,Cyan,,
0000363.png,Desert,Crow,Hippopotamus,Yellow,Gray,,
0000364.png,Desert,Crow,Hippopotamus,Brown,Red,,
0000365.png,Desert,Crow,Hippopotamus,Brown,Blue,,
0000366.png,Desert,Crow,Hippopotamus,Brown,Green,,
0000367.png,Desert,Crow,Hippopotamus,Brown,Yellow,,
0000368.png,Desert,Crow,Hippopotamus,Brown,Purple,,
0000369.png,Desert,Crow,Hippopotamus,Brown,Cyan,,
0000370.png,Desert,Crow,Hippopotamus,Brown,Gray,,
0000371.png,Desert,Crow,Hippopotamus,Purple,Red,,
0000372.png,Desert,Crow,Hippopotamus,Purple,Blue,,
0000373.png,Desert,Crow,Hippopotamus,Purple,Green,,
0000374.png,Desert,Crow,Hippopotamus,Purple,Yellow,,
0000375.png,Desert,Crow,Hippopotamus,Purple,Brown,,
0000376.png,Desert,Crow,Hippopotamus,Purple,Cyan,,
0000377.png,Desert,Crow,Hippopotamus,Purple,Gray,,
0000378.png,Desert,Crow,Hippopotamus,Cyan,Red,,
0000379.png,Desert,Crow,Hippopotamus,Cyan,Blue,,
0000380.png,Desert,Crow,Hippopotamus,Cyan,Green,,
0000381.png,Desert,Crow,Hippopotamus,Cyan,Yellow,,
0000382.png,Desert,Crow,Hippopotamus,Cyan,Brown,,
0000383.png,Desert,Crow,Hippopotamus,Cyan,Purple,,
0000384.png,Desert,Crow,Hippopotamus,Cyan,Gray,,
0000385.png,Desert,Crow,Hippopotamus,Gray,Red,,
0000386.png,Desert,Crow,Hippopotamus,Gray,Blue,,
0000387.png,Desert,Crow,Hippopotamus,Gray,Green,,
0000388.png,Desert,Crow,Hippopotamus,Gray,Yellow,,
0000389.png,Desert,Crow,Hippopotamus,Gray,Brown,,
0000390.png,Desert,Crow,Hippopotamus,Gray,Purple,,
0000391.png,Desert,Crow,Hippopotamus,Gray,Cyan,,
0000392.png,Desert,Crow,Lion,Red,Blue,,
0000393.png,Desert,Crow,Lion,Red,Green,,
0000394.png,Desert,Crow,Lion,Red,Yellow,,
0000395.png,Desert,Crow,Lion,Red,Brown,,
0000396.png,Desert,Crow,Lion,Red,Purple,,
0000397.png,Desert,Crow,Lion,Red,Cyan,,
0000398.png,Desert,Crow,Lion,Red,Gray,,
0000399.png,Desert,Crow,Lion,Blue,Red,,
0000400.png,Desert,Crow,Lion,Blue,Green,,
0000401.png,Desert,Crow,Lion,Blue,Yellow,,
0000402.png,Desert,Crow,Lion,Blue,Brown,,
0000403.png,Desert,Crow,Lion,Blue,Purple,,
0000404.png,Desert,Crow,Lion,Blue,Cyan,,
0000405.png,Desert,Crow,Lion,Blue,Gray,,
0000406.png,Desert,Crow,Lion,Green,Red,,
0000407.png,Desert,Crow,Lion,Green,Blue,,
0000408.png,Desert,Crow,Lion,Green,Yellow,,
0000409.png,Desert,Crow,Lion,Green,Brown,,
0000410.png,Desert,Crow,Lion,Green,Purple,,
0000411.png,Desert,Crow,Lion,Green,Cyan,,
0000412.png,Desert,Crow,Lion,Green,Gray,,
0000413.png,Desert,Crow,Lion,Yellow,Red,,
0000414.png,Desert,Crow,Lion,Yellow,Blue,,
0000415.png,Desert,Crow,Lion,Yellow,Green,,
0000416.png,Desert,Crow,Lion,Yellow,Brown,,
0000417.png,Desert,Crow,Lion,Yellow,Purple,,
0000418.png,Desert,Crow,Lion,Yellow,Cyan,,
0000419.png,Desert,Crow,Lion,Yellow,Gray,,
0000420.png,Desert,Crow,Lion,Brown,Red,,
0000421.png,Desert,Crow,Lion,Brown,Blue,,
0000422.png,Desert,Crow,Lion,Brown,Green,,
0000423.png,Desert,Crow,Lion,Brown,Yellow,,
0000424.png,Desert,Crow,Lion,Brown,Purple,,
0000425.png,Desert,Crow,Lion,Brown,Cyan,,
0000426.png,Desert,Crow,Lion,Brown,Gray,,
0000427.png,Desert,Crow,Lion,Purple,Red,,
0000428.png,Desert,Crow,Lion,Purple,Blue,,
0000429.png,Desert,Crow,Lion,Purple,Green,,
0000430.png,Desert,Crow,Lion,Purple,Yellow,,
0000431.png,Desert,Crow,Lion,Purple,Brown,,
0000432.png,Desert,Crow,Lion,Purple,Cyan,,
0000433.png,Desert,Crow,Lion,Purple,Gray,,
0000434.png,Desert,Crow,Lion,Cyan,Red,,
0000435.png,Desert,Crow,Lion,Cyan,Blue,,
0000436.png,Desert,Crow,Lion,Cyan,Green,,
0000437.png,Desert,Crow,Lion,Cyan,Yellow,,
0000438.png,Desert,Crow,Lion,Cyan,Brown,,
0000439.png,Desert,Crow,Lion,Cyan,Purple,,
0000440.png,Desert,Crow,Lion,Cyan,Gray,,
0000441.png,Desert,Crow,Lion,Gray,Red,,
0000442.png,Desert,Crow,Lion,Gray,Blue,,
0000443.png,Desert,Crow,Lion,Gray,Green,,
0000444.png,Desert,Crow,Lion,Gray,Yellow,,
0000445.png,Desert,Crow,Lion,Gray,Brown,,
0000446.png,Desert,Crow,Lion,Gray,Purple,,
0000447.png,Desert,Crow,Lion,Gray,Cyan,,
0000448.png,Desert,Crow,Lioness,Red,Blue,,
0000449.png,Desert,Crow,Lioness,Red,Green,,
0000450.png,Desert,Crow,Lioness,Red,Yellow,,
0000451.png,Desert,Crow,Lioness,Red,Brown,,
0000452.png,Desert,Crow,Lioness,Red,Purple,,
0000453.png,Desert,Crow,Lioness,Red,Cyan,,
0000454.png,Desert,Crow,Lioness,Red,Gray,,
0000455.png,Desert,Crow,Lioness,Blue,Red,,
0000456.png,Desert,Crow,Lioness,Blue,Green,,
0000457.png,Desert,Crow,Lioness,Blue,Yellow,,
0000458.png,Desert,Crow,Lioness,Blue,Brown,,
0000459.png,Desert,Crow,Lioness,Blue,Purple,,
0000460.png,Desert,Crow,Lioness,Blue,Cyan,,
0000461.png,Desert,Crow,Lioness,Blue,Gray,,
0000462.png,Desert,Crow,Lioness,Green,Red,,
0000463.png,Desert,Crow,Lioness,Green,Blue,,
0000464.png,Desert,Crow,Lioness,Green,Yellow,,
0000465.png,Desert,Crow,Lioness,Green,Brown,,
0000466.png,Desert,Crow,Lioness,Green,Purple,,
0000467.png,Desert,Crow,Lioness,Green,Cyan,,
0000468.png,Desert,Crow,Lioness,Green,Gray,,
0000469.png,Desert,Crow,Lioness,Yellow,Red,,
